サービス名（店舗名）,会社名,住所,電話番号,WebサイトURL
WHITE GLASS COFFEE,WHITE GLASS COFFEE,日本、〒150-0031 東京都渋谷区桜丘町２３−１８ ビジョナリーアーツ 1F,03-6416-4550,https://whiteglasscoffee.com/
ホワイトリー カフェ,ホワイトリー カフェ,日本、〒150-0041 東京都渋谷区神南１丁目６−１４ ジョルディビル 1F,03-4400-2622,http://mds-fund.com/cafe
JINNAN CAFE 渋谷,JINNAN CAFE 渋谷,日本、〒150-0041 東京都渋谷区神南１丁目１７−５ クーラビル 1F・B1F,03-5728-3786,http://jinnancafe.com/shibuya/
茶亭 羽當 渋谷,茶亭 羽當 渋谷,日本、〒150-0002 東京都渋谷区渋谷１丁目１５−１９,03-3400-9088,https://www.instagram.com/hatou_coffee_shibuya/
Polysection 渋谷シーシャ喫茶｜Hookah cafe lounge,Polysection 渋谷シーシャ喫茶｜Hookah cafe lounge,日本、〒150-0043 東京都渋谷区道玄坂２丁目２８−９ 渋谷ダイヤモンドビル 6階,03-4400-3463,https://www.instagram.com/polysection/
5 CROSSTIES COFFEE 渋谷スクランブルスクエア,5 CROSSTIES COFFEE 渋谷スクランブルスクエア,日本、〒150-0002 東京都渋谷区渋谷２丁目２４−１２,080-3394-4236,https://shop.jr-cross.co.jp/eki/spot/detail?code=f1685
Marked 渋谷,Marked 渋谷,日本、〒150-0002 東京都渋谷区渋谷１丁目２３−２１ 渋谷キャスト 1F,03-6427-3855,https://www.instagram.com/marked.shibuya/
YOLO cafe&bar 渋谷宮益坂,YOLO cafe&bar 渋谷宮益坂,日本、〒150-0002 東京都渋谷区渋谷１丁目１４−１５ 森ビル ７階,080-4657-0499,https://tabelog.com/tokyo/A1303/A130301/13309404/
347CAFE&LOUNGE,347CAFE&LOUNGE,日本、〒150-0002 東京都渋谷区渋谷１丁目２３−１６ 3F,03-5766-3798,https://www.347cafe.com/
FREEMAN CAFE 渋谷メトロプラザ,FREEMAN CAFE 渋谷メトロプラザ,日本、〒150-0002 東京都渋谷区渋谷１丁目１６−１４ メトロプラザ ２階,03-5766-9111,https://www.create-restaurants.co.jp/shop/index.php?controller=FrontCrShop&action=shop_show&id=577&lang=ja
松涛カフェ 渋谷本店,松涛カフェ 渋谷本店,日本、〒150-0046 東京都渋谷区松濤１丁目２９−２４ シティコート松濤 １階,03-5784-1566,https://www.instagram.com/shoto_cafe
